,country,framework,users,type
74,Germany,Next.js,355,have used
75,Germany,Django,350,have used
76,Turkey,Node.js,348,have used
77,Italy,React.js,345,have used
78,India,FastAPI,334,have used
79,Turkey,React.js,319,have used
80,Spain,jQuery,315,have used
81,Canada,ASP.NET Core,315,have used
82,United Kingdom of Great Britain and Northern Ireland,Django,308,have used
83,Sweden,React.js,307,have used
84,Germany,ASP.NET,304,have used
85,Sweden,Node.js,301,have used
86,Turkey,jQuery,300,have used
87,United States of America,Phoenix,295,have used
88,Brazil,Vue.js,293,have used
89,Poland,jQuery,286,have used
90,Netherlands,jQuery,285,have used
91,Russian Federation,Node.js,284,have used
92,Canada,Vue.js,280,have used
93,Netherlands,ASP.NET Core,278,have used
94,Russian Federation,React.js,273,have used
95,Spain,Angular,272,have used
96,Canada,Angular,270,have used
97,Brazil,ASP.NET Core,270,have used
98,Switzerland,Node.js,269,have used
99,Brazil,Next.js,269,have used
100,Pakistan,React.js,267,have used
101,Bangladesh,React.js,264,have used
102,Netherlands,Vue.js,263,have used
103,Italy,Angular,254,have used
104,Poland,Angular,253,have used
105,Poland,ASP.NET Core,252,have used
106,Austria,Node.js,251,have used
107,Spain,Express,250,have used
108,United States of America,Drupal,248,have used
109,Bangladesh,Node.js,248,have used
110,Pakistan,Node.js,243,have used
111,Canada,Next.js,241,have used
112,Australia,jQuery,240,have used
113,France,Flask,240,have used
114,Israel,Node.js,238,have used
115,Italy,Express,238,have used
116,United States of America,Nuxt.js,234,have used
117,Australia,ASP.NET Core,234,have used
118,France,Symfony,229,have used
119,Netherlands,Angular,229,have used
120,Brazil,Flask,226,have used
121,Canada,Flask,225,have used
122,Canada,ASP.NET,225,have used
123,Germany,FastAPI,224,have used
124,Turkey,ASP.NET Core,224,have used
125,Israel,React.js,223,have used
126,Germany,Angular.js,222,have used
127,France,Django,220,have used
128,Brazil,ASP.NET,220,have used
129,Germany,Svelte,219,have used
130,Nigeria,React.js,218,have used
131,Pakistan,jQuery,214,have used
132,Indonesia,Node.js,213,have used
133,Nigeria,Node.js,211,have used
134,Switzerland,React.js,211,have used
135,Poland,Express,211,have used
136,Germany,Symfony,209,have used
137,"Iran, Islamic Republic of...",React.js,209,have used
138,Netherlands,Express,208,have used
139,Spain,Vue.js,208,have used
140,Poland,Vue.js,206,have used
141,Canada,Django,206,have used
142,Germany,Laravel,205,have used
143,United Kingdom of Great Britain and Northern Ireland,Laravel,203,have used
144,"Iran, Islamic Republic of...",Node.js,202,have used
145,Italy,Vue.js,201,have used
146,Mexico,Node.js,199,have used
147,Bangladesh,jQuery,197,have used
148,Brazil,Django,196,have used
149,"Iran, Islamic Republic of...",jQuery,194,have used
150,Finland,React.js,194,have used
151,Italy,ASP.NET Core,194,have used
152,France,Next.js,193,have used
153,Belgium,Node.js,191,have used
154,Netherlands,ASP.NET,191,have used
155,Turkey,Express,188,have used
156,Sweden,ASP.NET Core,187,have used
157,United States of America,Deno,185,have used
158,Turkey,ASP.NET,184,have used
159,United Kingdom of Great Britain and Northern Ireland,Angular.js,184,have used
160,Indonesia,jQuery,184,have used
161,Argentina,Node.js,182,have used
162,Switzerland,Angular,181,have used
163,Mexico,React.js,180,have used
164,Portugal,Node.js,179,have used
165,Russian Federation,Vue.js,179,have used
166,United States of America,Symfony,179,have used
167,Czech Republic,Node.js,178,have used
168,Australia,Express,178,have used
169,France,ASP.NET Core,177,have used
170,Indonesia,React.js,177,have used
171,Indonesia,Laravel,176,have used
172,Austria,React.js,176,have used
173,Australia,ASP.NET,175,have used
174,India,Gatsby,175,have used
175,China,Vue.js,175,have used
176,Argentina,React.js,174,have used
177,Russian Federation,jQuery,174,have used
178,China,Node.js,173,have used
179,Italy,ASP.NET,172,have used
180,United Kingdom of Great Britain and Northern Ireland,Ruby on Rails,169,have used
181,Finland,Node.js,169,have used
182,India,Ruby on Rails,168,have used
183,Turkey,Vue.js,167,have used
184,Switzerland,jQuery,167,have used
185,Belgium,React.js,166,have used
186,Greece,Node.js,165,have used
187,Poland,Django,164,have used
188,Czech Republic,React.js,164,have used
189,Brazil,Laravel,164,have used
190,Poland,Next.js,164,have used
191,Ukraine,React.js,163,have used
192,Australia,Vue.js,162,have used
193,Romania,React.js,162,have used
194,Poland,ASP.NET,161,have used
195,France,Angular.js,161,have used
196,Austria,Angular,161,have used
197,Pakistan,Express,161,have used
198,Russian Federation,Django,160,have used
199,Spain,Django,160,have used
200,Germany,Ruby on Rails,159,have used
201,Romania,Node.js,157,have used
202,Bangladesh,Express,157,have used
203,Australia,Angular,156,have used
204,United Kingdom of Great Britain and Northern Ireland,Blazor,155,have used
205,Germany,Blazor,154,have used
206,Sri Lanka,Node.js,154,have used
207,Germany,Nuxt.js,153,have used
208,Austria,jQuery,153,have used
209,Poland,Flask,153,have used
210,India,Svelte,152,have used
211,Russian Federation,ASP.NET Core,152,have used
212,Ukraine,Node.js,152,have used
213,Norway,React.js,152,have used
214,Turkey,Angular,152,have used
215,Sweden,Express,151,have used
216,Hungary,Node.js,150,have used
217,Italy,Flask,150,have used
218,Denmark,Node.js,148,have used
219,France,ASP.NET,147,have used
220,United States of America,Fastify,147,have used
221,Nigeria,Express,146,have used
222,Mexico,jQuery,146,have used
223,Portugal,React.js,145,have used
224,"Iran, Islamic Republic of...",ASP.NET Core,145,have used
225,Greece,React.js,145,have used
226,United Kingdom of Great Britain and Northern Ireland,FastAPI,145,have used
227,Netherlands,Laravel,144,have used
228,Italy,Angular.js,144,have used
229,Philippines,Node.js,144,have used
230,Sri Lanka,React.js,143,have used
231,Bangladesh,Laravel,142,have used
232,Denmark,React.js,142,have used
233,Switzerland,Vue.js,142,have used
234,Brazil,Angular.js,141,have used
235,Spain,Next.js,140,have used
236,United Kingdom of Great Britain and Northern Ireland,Svelte,140,have used
237,China,React.js,140,have used
238,Turkey,Django,139,have used
239,Israel,Express,139,have used
240,Indonesia,Express,138,have used
241,Denmark,ASP.NET Core,138,have used
242,Spain,Flask,137,have used
243,Norway,Node.js,135,have used
244,Canada,Angular.js,135,have used
245,Netherlands,Flask,135,have used
246,New Zealand,Node.js,134,have used
247,United Kingdom of Great Britain and Northern Ireland,Gatsby,134,have used
248,Pakistan,Laravel,134,have used
249,South Africa,Node.js,134,have used
250,New Zealand,React.js,133,have used
251,Canada,Ruby on Rails,133,have used
252,Brazil,Ruby on Rails,132,have used
253,Greece,jQuery,132,have used
254,Netherlands,Next.js,132,have used
255,Switzerland,ASP.NET Core,131,have used
256,Sweden,ASP.NET,131,have used
257,France,Laravel,130,have used
258,Sweden,Vue.js,130,have used
259,Spain,ASP.NET Core,129,have used
260,Turkey,Next.js,127,have used
261,Egypt,Node.js,126,have used
262,Russian Federation,Flask,126,have used
263,Belgium,Angular,126,have used
264,Australia,Next.js,125,have used
265,Italy,Laravel,125,have used
266,Austria,Vue.js,125,have used
267,"Iran, Islamic Republic of...",Vue.js,124,have used
268,Colombia,Node.js,124,have used
269,Netherlands,Django,124,have used
270,South Africa,React.js,123,have used
271,"Iran, Islamic Republic of...",Django,123,have used
272,Philippines,React.js,123,have used
273,"Iran, Islamic Republic of...",Express,121,have used
274,Italy,Django,121,have used
275,Argentina,Express,121,have used
276,Pakistan,Angular,121,have used
277,Sweden,jQuery,119,have used
278,Czech Republic,jQuery,119,have used
279,India,Nuxt.js,119,have used
280,Mexico,Express,119,have used
281,Egypt,React.js,118,have used
282,Austria,ASP.NET Core,117,have used
283,Hungary,React.js,117,have used
284,Bangladesh,Django,116,have used
285,Australia,Flask,116,have used
286,Belgium,jQuery,116,have used
287,Spain,Laravel,115,have used
288,Bulgaria,Node.js,114,have used
289,Switzerland,Express,114,have used
290,Indonesia,Vue.js,113,have used
291,Russian Federation,Express,113,have used
292,Colombia,React.js,113,have used
293,Turkey,Flask,113,have used
294,Nigeria,jQuery,112,have used
295,Spain,ASP.NET,112,have used
296,Pakistan,ASP.NET,112,have used
297,Viet Nam,Node.js,111,have used
298,Argentina,jQuery,111,have used
299,South Africa,jQuery,111,have used
300,Spain,Angular.js,110,have used
301,Austria,Express,110,have used
302,Bulgaria,React.js,109,have used
303,Mexico,Angular,108,have used
304,Japan,Node.js,107,have used
305,Czech Republic,ASP.NET Core,107,have used
306,Bangladesh,Vue.js,107,have used
307,Japan,React.js,105,have used
308,Israel,Flask,105,have used
309,France,FastAPI,105,have used
310,Pakistan,Django,105,have used
311,Romania,jQuery,104,have used
312,United Kingdom of Great Britain and Northern Ireland,Nuxt.js,104,have used
313,Belgium,Vue.js,104,have used
314,Germany,Gatsby,103,have used
315,China,jQuery,103,have used
316,Netherlands,Angular.js,103,have used
317,Romania,Angular,103,have used
318,South Africa,ASP.NET Core,103,have used
319,Sweden,Angular,102,have used
320,Canada,Svelte,102,have used
321,"Iran, Islamic Republic of...",ASP.NET,102,have used
322,Belgium,ASP.NET Core,101,have used
323,Romania,ASP.NET Core,100,have used
324,Bangladesh,Next.js,100,have used
325,Viet Nam,React.js,100,have used
326,"Iran, Islamic Republic of...",Angular,99,have used
327,Canada,Laravel,99,have used
328,Philippines,jQuery,99,have used
329,Switzerland,ASP.NET,99,have used
330,Nigeria,Django,99,have used
331,Norway,ASP.NET Core,99,have used
332,Pakistan,Next.js,98,have used
333,Indonesia,Next.js,98,have used
334,"Iran, Islamic Republic of...",Laravel,98,have used
335,Finland,Express,97,have used
336,Canada,FastAPI,97,have used
337,Kenya,Node.js,97,have used
338,France,Nuxt.js,97,have used
339,Australia,Django,97,have used
340,Portugal,jQuery,97,have used
341,Israel,Angular,96,have used
342,Ukraine,jQuery,95,have used
343,Slovenia,Node.js,94,have used
344,Ireland,Node.js,94,have used
345,Pakistan,ASP.NET Core,94,have used
346,Morocco,React.js,93,have used
347,Egypt,jQuery,93,have used
348,Poland,Angular.js,93,have used
349,Russian Federation,ASP.NET,93,have used
350,Denmark,ASP.NET,92,have used
351,Sweden,Next.js,92,have used
352,Portugal,Express,91,have used
353,Hungary,jQuery,91,have used
354,Nepal,Node.js,91,have used
355,Turkey,Laravel,90,have used
356,Argentina,Angular,90,have used
357,Italy,Next.js,90,have used
358,Sri Lanka,Express,90,have used
359,Switzerland,Flask,89,have used
360,Belgium,Express,89,have used
361,Russian Federation,Angular,89,have used
362,France,Ruby on Rails,88,have used
363,Romania,Express,88,have used
364,Colombia,Angular,87,have used
365,Kenya,React.js,87,have used
366,New Zealand,ASP.NET Core,87,have used
367,Colombia,Express,87,have used
368,Canada,Blazor,87,have used
369,South Korea,Node.js,87,have used
370,South Africa,ASP.NET,87,have used
371,Turkey,Angular.js,86,have used
372,Hungary,Angular,86,have used
373,Nepal,React.js,86,have used
374,Taiwan,Node.js,86,have used
375,Bangladesh,Angular,85,have used
376,Brazil,FastAPI,85,have used
377,France,Svelte,85,have used
378,Serbia,Node.js,85,have used
379,Ireland,React.js,85,have used
380,Czech Republic,Vue.js,85,have used
381,Poland,Laravel,85,have used
382,Mexico,ASP.NET,84,have used
383,Morocco,Node.js,84,have used
384,Mexico,ASP.NET Core,84,have used
385,South Korea,React.js,84,have used
386,Sri Lanka,jQuery,84,have used
387,Russian Federation,Next.js,83,have used
388,Pakistan,Vue.js,83,have used
389,Russian Federation,FastAPI,83,have used
390,Philippines,Express,83,have used
391,Romania,Vue.js,81,have used
392,Chile,Node.js,81,have used
393,Ukraine,Express,81,have used
394,Nigeria,Next.js,81,have used
395,Portugal,Angular,81,have used
396,Canada,Gatsby,80,have used
397,Singapore,Node.js,80,have used
398,Portugal,ASP.NET Core,80,have used
399,Czech Republic,Express,80,have used
400,Nigeria,Vue.js,79,have used
401,Egypt,Express,79,have used
402,South Africa,Angular,79,have used
403,Poland,Symfony,78,have used
404,"Iran, Islamic Republic of...",Next.js,78,have used
405,Bulgaria,Angular,78,have used
406,Bulgaria,ASP.NET Core,77,have used
407,Spain,Symfony,77,have used
408,Israel,jQuery,77,have used
409,Thailand,Node.js,77,have used
410,Austria,ASP.NET,76,have used
411,Denmark,Angular,76,have used
412,United Kingdom of Great Britain and Northern Ireland,Symfony,76,have used
413,Poland,FastAPI,76,have used
414,Viet Nam,jQuery,75,have used
415,Hungary,Express,75,have used
416,United States of America,Play Framework,75,have used
417,Greece,ASP.NET Core,75,have used
418,Viet Nam,Express,75,have used
419,Netherlands,Blazor,74,have used
420,Poland,Ruby on Rails,74,have used
421,Spain,FastAPI,74,have used
422,Denmark,jQuery,74,have used
423,Greece,Express,74,have used
424,Germany,Fastify,73,have used
425,Slovakia,Node.js,73,have used
426,Serbia,React.js,73,have used
427,Germany,Phoenix,73,have used
428,Hong Kong (S.A.R.),Node.js,73,have used
429,Mexico,Laravel,72,have used
430,Switzerland,Next.js,72,have used
431,Czech Republic,Angular,72,have used
432,Kenya,Django,72,have used
433,Hong Kong (S.A.R.),React.js,71,have used
434,Chile,React.js,71,have used
435,Bulgaria,jQuery,71,have used
436,Greece,Angular,71,have used
437,Switzerland,Django,71,have used
438,Austria,Flask,71,have used
439,Sweden,Flask,70,have used
440,Argentina,Vue.js,70,have used
441,Israel,Vue.js,70,have used
442,Czech Republic,ASP.NET,70,have used
443,Netherlands,FastAPI,70,have used
444,Germany,Deno,70,have used
445,Ukraine,Angular,70,have used
446,New Zealand,ASP.NET,69,have used
447,Denmark,Vue.js,69,have used
448,Mexico,Vue.js,69,have used
449,Finland,jQuery,69,have used
450,India,Drupal,69,have used
451,Nepal,Django,68,have used
452,Portugal,ASP.NET,68,have used
453,Singapore,React.js,68,have used
454,Thailand,React.js,68,have used
455,Australia,Angular.js,67,have used
456,Slovenia,jQuery,67,have used
457,India,Blazor,67,have used
458,Austria,Next.js,67,have used
459,New Zealand,jQuery,67,have used
460,Germany,Drupal,67,have used
461,Mexico,Django,67,have used
462,Lithuania,React.js,67,have used
463,Belgium,ASP.NET,66,have used
464,China,Flask,66,have used
465,Pakistan,Angular.js,66,have used
466,Morocco,jQuery,66,have used
467,China,Django,66,have used
468,Mexico,Flask,66,have used
469,Malaysia,Node.js,65,have used
470,Australia,Blazor,65,have used
471,Brazil,Phoenix,65,have used
472,Philippines,Vue.js,65,have used
473,Sri Lanka,Angular,65,have used
474,Israel,Next.js,64,have used
475,Egypt,ASP.NET Core,64,have used
476,Bulgaria,Express,64,have used
477,Argentina,ASP.NET,64,have used
478,Belgium,Flask,63,have used
479,Australia,Ruby on Rails,63,have used
480,Romania,ASP.NET,63,have used
481,Greece,ASP.NET,63,have used
482,India,Fastify,63,have used
483,South Africa,Vue.js,63,have used
484,Norway,jQuery,62,have used
485,Mexico,Next.js,62,have used
486,Hungary,ASP.NET Core,62,have used
487,Argentina,ASP.NET Core,62,have used
488,Denmark,Express,62,have used
489,Finland,Flask,62,have used
490,Netherlands,Symfony,62,have used
491,Slovenia,React.js,61,have used
492,China,Express,61,have used
493,Colombia,jQuery,61,have used
494,"Iran, Islamic Republic of...",Flask,61,have used
495,Greece,Vue.js,61,have used
496,Israel,ASP.NET,61,have used
497,Czech Republic,Next.js,61,have used
498,Italy,FastAPI,61,have used
499,Taiwan,Vue.js,61,have used
500,Taiwan,React.js,61,have used
501,Indonesia,Flask,61,have used
502,Portugal,Vue.js,61,have used
503,United Kingdom of Great Britain and Northern Ireland,Deno,61,have used
504,Philippines,Angular,60,have used
505,Malaysia,jQuery,60,have used
506,Ukraine,ASP.NET Core,60,have used
507,Czech Republic,Flask,60,have used
508,Kenya,jQuery,60,have used
509,South Korea,jQuery,60,have used
510,Nigeria,Flask,60,have used
511,Portugal,Django,60,have used
512,Peru,React.js,60,have used
513,Nepal,Express,60,have used
514,Hungary,Vue.js,60,have used
515,Nepal,jQuery,60,have used
516,Argentina,Django,60,have used
517,Netherlands,Svelte,60,have used
518,Bangladesh,ASP.NET Core,59,have used
519,Spain,Ruby on Rails,59,have used
520,Slovenia,Angular,59,have used
521,Norway,Express,59,have used
522,Japan,jQuery,59,have used
523,Slovakia,React.js,59,have used
524,Israel,ASP.NET Core,58,have used
525,United Kingdom of Great Britain and Northern Ireland,Drupal,58,have used
526,United Arab Emirates,Node.js,58,have used
527,Finland,Vue.js,58,have used
528,Italy,Symfony,57,have used
529,Indonesia,Django,57,have used
530,United Arab Emirates,React.js,57,have used
531,Poland,Gatsby,57,have used
532,Sweden,Blazor,57,have used
533,Kenya,Express,57,have used
534,Japan,Vue.js,57,have used
535,Greece,Flask,57,have used
536,Switzerland,Angular.js,56,have used
537,Bangladesh,Flask,56,have used
538,Egypt,Angular,56,have used
539,Belgium,Next.js,56,have used
540,Philippines,Laravel,56,have used
541,Pakistan,Flask,56,have used
542,Serbia,jQuery,56,have used
543,Australia,Svelte,55,have used
544,Greece,Django,55,have used
545,Netherlands,Ruby on Rails,55,have used
546,Bangladesh,ASP.NET,55,have used
547,Slovenia,Vue.js,55,have used
548,"Venezuela, Bolivarian Republic of...",Node.js,55,have used
549,Poland,Blazor,55,have used
550,Nigeria,Angular,55,have used
551,Thailand,Express,54,have used
552,South Africa,Express,54,have used
553,Malaysia,React.js,54,have used
554,Netherlands,Nuxt.js,54,have used
555,Morocco,Express,54,have used
556,Peru,Node.js,54,have used
557,Viet Nam,ASP.NET Core,54,have used
558,Ukraine,Vue.js,54,have used
559,Egypt,ASP.NET,54,have used
560,Sri Lanka,Next.js,53,have used
561,Ukraine,Next.js,53,have used
562,New Zealand,Express,53,have used
563,Taiwan,jQuery,53,have used
564,Brazil,Gatsby,53,have used
565,Norway,Angular,53,have used
566,Colombia,Django,53,have used
567,Austria,Laravel,52,have used
568,Finland,Next.js,52,have used
569,South Korea,Express,52,have used
570,Ireland,Angular,52,have used
571,Brazil,Nuxt.js,52,have used
572,Sweden,Django,52,have used
573,India,Deno,52,have used
574,Canada,Drupal,52,have used
575,Nigeria,Laravel,52,have used
576,Egypt,Laravel,52,have used
577,Kenya,Vue.js,51,have used
578,Ireland,jQuery,51,have used
579,Argentina,Next.js,51,have used
580,Canada,Phoenix,51,have used
581,Israel,Django,51,have used
582,Norway,ASP.NET,51,have used
583,Sweden,Angular.js,50,have used
584,Finland,Django,50,have used
585,Colombia,Vue.js,50,have used
586,Canada,Nuxt.js,50,have used
587,Argentina,Angular.js,50,have used
588,Norway,Vue.js,50,have used
589,Japan,Express,50,have used
590,Brazil,Svelte,50,have used
591,Chile,Express,50,have used
592,Bulgaria,ASP.NET,49,have used
593,Ukraine,Django,49,have used
594,Poland,Svelte,49,have used
595,Serbia,Angular,49,have used
596,Romania,Next.js,49,have used
597,Israel,FastAPI,49,have used
598,Italy,Blazor,49,have used
599,Lithuania,Node.js,49,have used
600,Kenya,Laravel,49,have used
601,Argentina,Laravel,49,have used
602,Canada,Symfony,48,have used
603,Ukraine,Flask,48,have used
604,Serbia,Express,48,have used
605,Hungary,ASP.NET,48,have used
606,United Kingdom of Great Britain and Northern Ireland,Phoenix,48,have used
607,Egypt,Next.js,48,have used
608,Turkey,Nuxt.js,48,have used
609,Belgium,Angular.js,48,have used
610,New Zealand,Vue.js,48,have used
611,Belgium,Laravel,48,have used
612,United Kingdom of Great Britain and Northern Ireland,Fastify,47,have used
613,Kenya,Angular,47,have used
614,Malaysia,Express,47,have used
615,South Africa,Django,47,have used
616,New Zealand,Angular,47,have used
617,Morocco,Laravel,47,have used
618,Morocco,Angular,47,have used
619,United Arab Emirates,jQuery,47,have used
620,Japan,Next.js,46,have used
621,Estonia,React.js,46,have used
622,Estonia,Node.js,46,have used
623,Tunisia,Node.js,46,have used
624,Austria,Django,46,have used
625,Czech Republic,Django,46,have used
626,Hungary,Next.js,46,have used
627,Sri Lanka,Laravel,46,have used
628,Serbia,ASP.NET Core,46,have used
629,Ireland,Express,46,have used
630,Lithuania,ASP.NET Core,46,have used
631,Croatia,React.js,45,have used
632,Ukraine,ASP.NET,45,have used
633,Australia,Laravel,45,have used
634,"Iran, Islamic Republic of...",Nuxt.js,45,have used
635,Philippines,ASP.NET,45,have used
636,Taiwan,Express,45,have used
637,Ireland,ASP.NET Core,45,have used
638,Portugal,Flask,45,have used
639,Philippines,Next.js,45,have used
640,Egypt,Django,45,have used
641,Turkey,Blazor,45,have used
642,Slovakia,jQuery,44,have used
643,Russian Federation,Laravel,44,have used
644,Portugal,Next.js,44,have used
645,Viet Nam,ASP.NET,44,have used
646,Belgium,Django,44,have used
647,Hong Kong (S.A.R.),jQuery,44,have used
648,Chile,jQuery,43,have used
649,Malaysia,Vue.js,43,have used
650,Viet Nam,Angular,43,have used
651,Egypt,Vue.js,43,have used
652,Viet Nam,Vue.js,43,have used
653,Romania,Angular.js,43,have used
654,Hungary,Flask,43,have used
655,"Iran, Islamic Republic of...",Angular.js,43,have used
656,Sweden,Svelte,43,have used
657,Slovenia,ASP.NET Core,42,have used
658,Morocco,Vue.js,42,have used
659,Switzerland,Blazor,42,have used
660,Australia,Gatsby,42,have used
661,India,Symfony,42,have used
662,Bangladesh,Angular.js,42,have used
663,Turkey,FastAPI,42,have used
664,Italy,Ruby on Rails,42,have used
665,Croatia,Node.js,42,have used
666,Bangladesh,Nuxt.js,42,have used
667,Brazil,Blazor,42,have used
668,France,Fastify,41,have used
669,Colombia,ASP.NET Core,41,have used
670,Brazil,Symfony,41,have used
671,Sri Lanka,Django,41,have used
672,Poland,Phoenix,41,have used
673,Israel,Angular.js,41,have used
674,Viet Nam,Next.js,41,have used
675,Nepal,Laravel,41,have used
676,Tunisia,React.js,41,have used
677,China,Next.js,41,have used
678,Mexico,Angular.js,41,have used
679,Romania,Flask,41,have used
680,Lithuania,jQuery,40,have used
681,Norway,Flask,40,have used
682,Italy,Drupal,40,have used
683,Egypt,Flask,40,have used
684,Hungary,Laravel,40,have used
685,France,Drupal,40,have used
686,China,ASP.NET Core,40,have used
687,Austria,Blazor,40,have used
688,Singapore,Express,40,have used
689,Singapore,Flask,40,have used
690,Switzerland,Laravel,39,have used
691,Romania,Django,39,have used
692,Turkey,Svelte,39,have used
693,"Venezuela, Bolivarian Republic of...",React.js,39,have used
694,Kenya,Flask,39,have used
695,Philippines,ASP.NET Core,39,have used
696,Philippines,Django,39,have used
697,Italy,Fastify,39,have used
698,Dominican Republic,Node.js,39,have used
699,Colombia,Next.js,39,have used
700,South Africa,Next.js,39,have used
701,Finland,Angular,39,have used
702,Denmark,Flask,39,have used
703,Thailand,Next.js,38,have used
704,Serbia,Vue.js,38,have used
705,Philippines,Angular.js,38,have used
706,Sri Lanka,Vue.js,38,have used
707,Russian Federation,Blazor,38,have used
708,Slovenia,Express,38,have used
709,Bulgaria,Vue.js,38,have used
710,Switzerland,Ruby on Rails,38,have used
711,Indonesia,Angular,38,have used
712,Australia,FastAPI,38,have used
713,Russian Federation,Nuxt.js,38,have used
714,Portugal,Laravel,37,have used
715,Austria,Angular.js,37,have used
716,Indonesia,Nuxt.js,37,have used
717,Romania,Laravel,37,have used
718,Nepal,Next.js,37,have used
719,Tunisia,Angular,37,have used
720,Taiwan,Flask,37,have used
721,Greece,Laravel,37,have used
722,Denmark,Next.js,37,have used
723,Croatia,jQuery,37,have used
724,France,Blazor,37,have used
725,Indonesia,ASP.NET Core,37,have used
726,Norway,Django,37,have used
727,Kenya,Next.js,37,have used
728,Bosnia and Herzegovina,Node.js,37,have used
729,Ireland,Flask,37,have used
730,Bangladesh,FastAPI,36,have used
731,Australia,Nuxt.js,36,have used
732,Spain,Nuxt.js,36,have used
733,Norway,Next.js,36,have used
734,Sri Lanka,Flask,36,have used
735,South Africa,Blazor,36,have used
736,Serbia,ASP.NET,36,have used
737,Ireland,Vue.js,36,have used
738,Thailand,jQuery,36,have used
739,Thailand,Vue.js,36,have used
740,Italy,Svelte,36,have used
741,Dominican Republic,React.js,36,have used
742,Poland,Nuxt.js,36,have used
743,Denmark,Blazor,35,have used
744,South Africa,Angular.js,35,have used
745,Viet Nam,Django,35,have used
746,Croatia,Angular,35,have used
747,Austria,Symfony,35,have used
748,Greece,Next.js,35,have used
749,Canada,Deno,35,have used
750,China,Angular,35,have used
751,Slovakia,Angular,35,have used
752,Bulgaria,Django,35,have used
753,Uruguay,Node.js,35,have used
754,"Iran, Islamic Republic of...",FastAPI,35,have used
755,Colombia,Flask,35,have used
756,Ghana,React.js,35,have used
757,Finland,ASP.NET Core,35,have used
758,Czech Republic,Laravel,35,have used
759,France,Gatsby,35,have used
760,Chile,Vue.js,35,have used
761,Hong Kong (S.A.R.),Express,35,have used
762,New Zealand,Next.js,35,have used
763,Philippines,Flask,34,have used
764,Mexico,Ruby on Rails,34,have used
765,Uruguay,React.js,34,have used
766,Switzerland,Svelte,34,have used
767,Spain,Phoenix,34,have used
768,Slovakia,Express,34,have used
769,Peru,Next.js,34,have used
770,Spain,Blazor,34,have used
771,Japan,Django,34,have used
772,South Korea,Next.js,34,have used
773,Malaysia,Laravel,34,have used
774,Ecuador,Node.js,33,have used
775,Tunisia,Express,33,have used
776,Morocco,Next.js,33,have used
777,Ukraine,Angular.js,33,have used
778,Indonesia,FastAPI,33,have used
779,Portugal,Angular.js,33,have used
780,Nigeria,ASP.NET,33,have used
781,United Arab Emirates,Angular,33,have used
782,Nepal,Vue.js,33,have used
